Engagement	Project	Role	Name	Date	Rate	Hours	Amount
ACG	-	-	-	6/6/2013	 0	0	$140.00
Fiat	-	-	-	6/6/2013	 0	0	$140.00
DPC	-	-	-	6/6/2013	 0	0	$140.00
ADT	-	-	-	6/6/2013	 0	0	$140.00
Arby	-	-	-	6/6/2013	 0	0	$140.00
DADS	-	-	-	6/6/2013	 0	0	$140.00
Things Remembered	-	-	-	6/6/2013	 0	0	$140.00
M-Drive	-	-	-	6/6/2013	 0	0	$140.00
Infrastructure	-	-	-	6/6/2013	 0	0	$140.00
ACG	-	-	-	7/6/2013	 0	0	$140.00
Fiat	-	-	-	7/6/2013	 0	0	$140.00
DPC	-	-	-	7/6/2013	 0	0	$140.00
ADT	-	-	-	7/6/2013	 0	0	$140.00
Arby	-	-	-	7/6/2013	 0	0	$140.00
DADS	-	-	-	7/6/2013	 0	0	$140.00
Things Remembered	-	-	-	7/6/2013	 0	0	$140.00
M-Drive	-	-	-	7/6/2013	 0	0	$140.00
Infrastructure	-	-	-	7/6/2013	 0	0	$140.00
ACG	-	-	-	8/6/2013	 0	0	$140.00
Fiat	-	-	-	8/6/2013	 0	0	$140.00
DPC	-	-	-	8/6/2013	 0	0	$140.00
ADT	-	-	-	8/6/2013	 0	0	$140.00
Arby	-	-	-	8/6/2013	 0	0	$140.00
DADS	-	-	-	8/6/2013	 0	0	$140.00
Things Remembered	-	-	-	8/6/2013	 0	0	$140.00
M-Drive	-	-	-	8/6/2013	 0	0	$140.00
Infrastructure	-	-	-	8/6/2013	 0	0	$140.00
ACG	-	-	-	9/6/2013	 0	0	$140.00
Fiat	-	-	-	9/6/2013	 0	0	$140.00
DPC	-	-	-	9/6/2013	 0	0	$140.00
ADT	-	-	-	9/6/2013	 0	0	$140.00
Arby	-	-	-	9/6/2013	 0	0	$140.00
DADS	-	-	-	9/6/2013	 0	0	$140.00
Things Remembered	-	-	-	9/6/2013	 0	0	$140.00
M-Drive	-	-	-	9/6/2013	 0	0	$140.00
Infrastructure	-	-	-	9/6/2013	 0	0	$140.00
ACG	-	-	-	10/6/2013	 0	0	$140.00
Fiat	-	-	-	10/6/2013	 0	0	$140.00
DPC	-	-	-	10/6/2013	 0	0	$140.00
ADT	-	-	-	10/6/2013	 0	0	$140.00
Arby	-	-	-	10/6/2013	 0	0	$140.00
DADS	-	-	-	10/6/2013	 0	0	$140.00
Things Remembered	-	-	-	10/6/2013	 0	0	$140.00
M-Drive	-	-	-	10/6/2013	 0	0	$140.00
Infrastructure	-	-	-	10/6/2013	 0	0	$140.00
ACG	-	-	-	11/6/2013	 0	0	$140.00
Fiat	-	-	-	11/6/2013	 0	0	$140.00
DPC	-	-	-	11/6/2013	 0	0	$140.00
ADT	-	-	-	11/6/2013	 0	0	$140.00
Arby	-	-	-	11/6/2013	 0	0	$140.00
DADS	-	-	-	11/6/2013	 0	0	$140.00
Things Remembered	-	-	-	11/6/2013	 0	0	$140.00
M-Drive	-	-	-	11/6/2013	 0	0	$140.00
Infrastructure	-	-	-	11/6/2013	 0	0	$140.00
ACG	-	-	-	12/6/2013	 0	0	$140.00
Fiat	-	-	-	12/6/2013	 0	0	$140.00
DPC	-	-	-	12/6/2013	 0	0	$140.00
ADT	-	-	-	12/6/2013	 0	0	$140.00
Arby	-	-	-	12/6/2013	 0	0	$140.00
DADS	-	-	-	12/6/2013	 0	0	$140.00
Things Remembered	-	-	-	12/6/2013	 0	0	$140.00
M-Drive	-	-	-	12/6/2013	 0	0	$140.00
Infrastructure	-	-	-	12/6/2013	 0	0	$140.00
ACG	-	-	-	1/6/2014	0	0	$140.00
Fiat	-	-	-	1/6/2014	 0	0	$140.00
DPC	-	-	-	1/6/2014	 0	0	$140.00
ADT	-	-	-	1/6/2014	 0	0	$140.00
Arby	-	-	-	1/6/2014	 0	0	$140.00
DADS	-	-	-	1/6/2014	 0	0	$140.00
Things Remembered	-	-	-	1/6/2014	 0	0	$140.00
M-Drive	-	-	-	1/6/2014	 0	0	$140.00
Infrastructure	-	-	-	1/6/2014	 0	0	$140.00
